;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
0;79.900;Ford;Ecosport;2.0 Direct Flex Storm 4wd Automático;30.000;2019;RJ;São João de Meriti;Vazio
1;81.900;Jeep;Renegade;1.8 16v Flex Longitude 4p Automático;59.000;2016;RJ;Rio de Janeiro Zona Norte;Vazio
2;86.990;Toyota;Corolla;2.0 16v Xei Flex Multi-drive S 4p;112.909;2015;RJ;Baldeador - Niterói;Vazio
3;62.990;Nissan;Sentra;2.0 Sv Flex Aut. 4p;45.689;2016;RJ;Baldeador - Niterói;Vazio
4;65.900;Honda;Fit;1.5 Lx 16v Flex 4p Automático;47.000;2016;RJ;São João de Meriti;Vazio
5;71.900;Toyota;Corolla;1.8 Gli 16v Flex 4p Automático;79.000;2017;RJ;São João de Meriti;Vazio
6;71.900;Jeep;Renegade;1.8 16v Flex Sport 4p Automático;85.000;2019;RJ;São João de Meriti;Vazio
7;79.900;Ford;Ecosport;2.0 Direct Flex Storm 4wd Automático;30.000;2019;RJ;Nova Iguaçu;Vazio
8;79.900;Fiat;Doblo;1.8 Mpi Essence 7l 16v Flex 4p Manual;60.000;2020;RJ;Rio de Janeiro Zona Norte;Vazio
9;78.990;Hyundai;Hb20s;1.6 Premium 16v Flex 4p Automático;31.360;2019;RJ;Rio de Janeiro Zona Norte;Vazio
10;74.900;Chevrolet;Spin;1.8 Premier 8v Flex 4p Automático;59.000;2020;RJ;São João de Meriti;Vazio
11;56.900;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;83.000;2019;RJ;São João de Meriti;Vazio
12;59.900;Hyundai;Hb20s;1.0 Comfort Plus 12v Flex 4p Manual;27.700;2017;RJ;Rio de Janeiro Zona Oeste;Vazio
13;79.990;Chevrolet;Cruze;1.4 Turbo Lt 16v Flex 4p Automático;103.879;2017;RJ;São João de Meriti;Vazio
14;80.900;Chevrolet;Tracker;1.4 16v Turbo Flex Ltz Automático;123.112;2017;RJ;São João de Meriti;Vazio
15;70.900;Fiat;Cronos;1.8 E.torq Flex Precision At6;18.000;2019;RJ;São João de Meriti;Vazio
16;76.900;Honda;City;1.5 Ex 16v Flex 4p Automático;29.000;2018;RJ;São João de Meriti;Vazio
17;66.320;Jeep;Renegade;1.8 16v Flex Sport 4p Automático;50.000;2017;RJ;São João de Meriti;Vazio
18;83.920;Toyota;Corolla;1.8 Gli Upper 16v Flex 4p Automático;11.111;2019;RJ;Nova Iguaçu;Vazio
19;67.920;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;30.000;2020;RJ;São João de Meriti;Vazio
20;87.920;Honda;Civic;2.0 16v Flexone Sport 4p Cvt;60.000;2017;RJ;São João de Meriti;Vazio
21;83.920;Toyota;Corolla;1.8 Gli Upper 16v Flex 4p Automático;30.000;2019;RJ;São João de Meriti;Vazio
22;83.920;Toyota;Corolla;1.8 Gli Upper 16v Flex 4p Automático;40.000;2019;RJ;São João de Meriti;Vazio
23;66.320;Honda;Fit;1.5 Lx 16v Flex 4p Automático;50.000;2018;RJ;São João de Meriti;Vazio
