;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
0;79.990;Volkswagen;Virtus;1.0 200 Tsi Comfortline;71.300;2018;SP;Santo Amaro - São Paulo Zona Sul;Vazio
1;67.900;Ford;Focus;2.0 Titanium 16v;90.912;2015;SP;Santo Amaro - São Paulo Zona Sul;Vazio
2;69.990;Honda;Fit;1.5 Ex 16v;72.854;2016;SP;Jardim Mosteiro - Ribeirão Preto;Vazio
3;58.399;Chevrolet;Onix;1.0 Mpfi Lt 8v;58.000;2018;SP;Vila Marieta - São Paulo Zona Leste;Vazio
4;66.900;Fiat;Strada;1.4 Mpi Hard Working Cs 8v;54.518;2020;SP;Jurubatuba - São Paulo Zona Sul;Vazio
5;89.500;Honda;Fit;Ex Cvt Automatico _4p_;20.544;2019;SP;Vila Nova Conceição - São Paulo Zona Sul;Vazio
6;58.990;Volkswagen;Fox;1.6 Msi Comfortline 8v;47.250;2018;SP;Santo Amaro - São Paulo Zona Sul;Vazio
7;75.000;Honda;Fit;Lx Cvt;51.987;2017;SP;Vila Nova Conceição - São Paulo Zona Sul;Vazio
8;68.900;Ford;Focus;Sedan 2.0 Titanium Sedan 16v;87.000;2015;SP;Rudge Ramos - São Bernardo do Campo;Premium Auto Shopping
9;90.000;Jeep;Renegade;Sport At;48.287;2019;SP;Vila Nova Conceição - São Paulo Zona Sul;Vazio
10;89.990;Volkswagen;Polo;Highline 200 Tsi 1.0 Flex 12v Aut;52.000;2019;SP;Iporanga - Sorocaba;Vazio
11;86.899;Toyota;Corolla;1.8 Gli 16v;22.000;2015;SP;Vila Hermínia - Guarulhos;Vazio
12;57.990;Chevrolet;Onix;1.0 Mpfi Lt 8v;81.910;2019;SP;Parque da Mooca - São Paulo Zona Leste;Premium Auto Shopping
13;65.990;Renault;Duster;2.0 16v Dynamique;100.144;2017;SP;Jardim Mosteiro - Ribeirão Preto;Vazio
14;62.990;Volkswagen;Fox;1.6 Msi Total Xtreme;42.240;2018;SP;Vila Noêmia - Mauá;Vazio
15;60.900;Chevrolet;Spin;1.8 Ltz 8v;92.805;2015;SP;Jurubatuba - São Paulo Zona Sul;Vazio
16;72.990;Toyota;Etios;1.5 X Plus Sedan 16v;55.200;2020;SP;Santo Amaro - São Paulo Zona Sul;Vazio
17;64.900;Honda;Fit;1.5 Lx 16v;90.000;2015;SP;Dos Casa - São Bernardo do Campo;Vazio
18;72.900;Hyundai;Hb20s;1.6 Comfort Plus 16v;44.000;2019;SP;Dos Casa - São Bernardo do Campo;Vazio
19;61.900;Toyota;Etios;Hb X Vsc At;74.000;2019;SP;Centro - Ribeirão Pires;Vazio
20;82.000;Chevrolet;Cruze;Chev Lt Hb At;56.064;2018;SP;Vila Nova Conceição - São Paulo Zona Sul;Vazio
21;88.000;Nissan;Kicks;Sl Cvt;52.815;2017;SP;Vila Nova Conceição - São Paulo Zona Sul;Vazio
22;71.399;Chevrolet;Prisma;1.4 Mpfi Lt 8v;23.000;2018;SP;Vila Marieta - São Paulo Zona Leste;Vazio
23;61.900;Hyundai;Hb20;1.6 Comfort Style 16v;81.000;2017;SP;Santo Amaro - São Paulo Zona Sul;Vazio
24;55.800;Renault;Sandero;1.0 12v Sce Gt Line;65.000;2020;SP;Jardim Sumare - Ribeirão Preto;Vazio
25;75.990;Volkswagen;Golf;1.4 Tsi Comfortline 16v;90.000;2015;SP;Parque da Mooca - São Paulo Zona Leste;Premium Auto Shopping
26;61.900;Ford;Ecosport;1.6 Freestyle 16v;75.618;2015;SP;Vila Anchieta - São José do Rio Preto;Vazio
27;86.900;Volkswagen;Virtus;1.0 200 Tsi Comfortline;61.867;2019;SP;Vila Anchieta - São José do Rio Preto;Vazio
28;79.000;Jeep;Renegade;Sport At;52.593;2017;SP;Vila Nova Conceição - São Paulo Zona Sul;Vazio
29;74.990;Toyota;Corolla;1.8 Gli 16v;165.000;2015;SP;Santo Amaro - São Paulo Zona Sul;Vazio
30;69.900;Hyundai;Hb20s;1.6 Comfort Plus 16v;51.100;2019;SP;Santo Amaro - São Paulo Zona Sul;Vazio
31;89.900;Renault;Captur;1.6 16v Sce Intense;44.000;2019;SP;Vila Nova Curuçá - São Paulo Zona Leste;Vazio
32;63.900;Toyota;Etios;1.5 X Plus Sedan 16v;55.400;2019;SP;Vila Nova Curuçá - São Paulo Zona Leste;Vazio
33;60.390;Hyundai;Tucson;2.0 Mpfi Gls 16v 143cv 2wd;79.050;2015;SP;Parque Capuava - Santo André;Vazio
34;73.899;Hyundai;Hb20x;1.6 16v Premium;45.500;2017;SP;Vila Hermínia - Guarulhos;Vazio
35;82.900;Volkswagen;Saveiro;1.6 Cross Ce 16v;150.370;2018;SP;Ribeirânia - Ribeirão Preto;Vazio
36;81.900;Jeep;Renegade;1.8 16v Longitude;85.350;2016;SP;Ribeirânia - Ribeirão Preto;Vazio
37;82.900;Volkswagen;Polo;1.0 200 Tsi Highline;25.603;2018;SP;Parque Capuava - Santo André;Vazio
38;88.900;Nissan;Kicks;1.6 16v Flexstart Sl;58.300;2017;SP;Santo Amaro - São Paulo Zona Sul;Vazio
39;66.990;Chevrolet;Cobalt;1.8 Mpfi Elite 8v;73.200;2017;SP;Santo Amaro - São Paulo Zona Sul;Vazio
40;58.990;Chevrolet;Onix;1.0 Mpfi Lt 8v;62.000;2019;SP;Santo Amaro - São Paulo Zona Sul;Vazio
41;66.990;Chevrolet;Prisma;1.4 Mpfi Lt 8v;51.000;2019;SP;Santo Amaro - São Paulo Zona Sul;Vazio
42;58.990;Chevrolet;Onix;1.0 Mpfi Joy 8v;69.000;2020;SP;Santo Amaro - São Paulo Zona Sul;Vazio
43;61.900;Ford;Ka;1.5 Tivct Se Sedan;26.718;2020;SP;Santo Amaro - São Paulo Zona Sul;Vazio
44;56.990;Hyundai;Hb20;1.0 Unique 12v;38.204;2019;SP;Santo Amaro - São Paulo Zona Sul;Vazio
45;59.990;Hyundai;Hb20s;1.0 Unique 12v;78.599;2019;SP;Santo Amaro - São Paulo Zona Sul;Vazio
46;69.399;Honda;Fit;1.5 Lx 16v;97.000;2015;SP;Vila Marieta - São Paulo Zona Leste;Vazio
47;79.900;Volkswagen;Golf;1.4 Tsi Variant Comfortline 16v;83.500;2015;SP;Ipiranga - São Paulo Zona Sul;Vazio
48;81.900;Chevrolet;Montana;1.4 Mpfi Ls Cs 8v;9.735;2021;SP;Ribeirânia - Ribeirão Preto;Vazio
49;59.990;Volkswagen;Spacefox;1.6 Msi Trendline 8v;60.000;2019;SP;Rudge Ramos - São Bernardo do Campo;Vazio
50;84.900;Honda;City;1.5 Exl 16v;68.895;2017;SP;Ipiranga - São Paulo Zona Sul;Premium Auto Shopping
51;86.900;Volkswagen;Saveiro;1.6 Cross Cd 16v;72.174;2017;SP;Rudge Ramos - São Bernardo do Campo;Premium Auto Shopping
52;69.990;Honda;City;1.5 Exl 16v;122.000;2015;SP;Baeta Neves - São Bernardo do Campo;Vazio
53;61.990;Citroën;Aircross;1.6 Feel 16v;78.000;2017;SP;Cambuci - São Paulo Zona Sul;Vazio
54;89.990;Hyundai;Creta;16a Pulse;67.500;2018;SP;Vila Nova Conceição - São Paulo Zona Sul;Vazio
55;78.900;Chevrolet;Tracker;1.8 Mpfi Ltz 4x2 16v;78.366;2015;SP;Parque Capuava - Santo André;Vazio
56;84.900;Honda;Wr-v;1.5 16v Ex;71.000;2018;SP;Parque Capuava - Santo André;Vazio
57;56.900;Volkswagen;Up!;Up Move Mcv;81.874;2019;SP;Centro - Ribeirão Pires;Vazio
58;88.900;Jeep;Renegade;1.8 Longitude Flex Aut. 5p;80.000;2016;SP;Tamboré - Barueri;Vazio
59;86.900;Citroã«n;C4;Cactus 1.6 Feel 16v Aut. 5p;59.000;2020;SP;Tamboré - Barueri;Vazio
60;81.990;Honda;Civic;2.0 Lxr 16v;80.000;2016;SP;Jardim Sumare - Ribeirão Preto;Vazio
61;55.700;Chevrolet;Onix;1.0 Mpfi Lt 8v;65.000;2019;SP;Moóca - São Paulo Zona Leste;Vazio
62;61.900;Hyundai;Hb20s;1.0 Unique 12v;46.577;2019;SP;Jurubatuba - São Paulo Zona Sul;Vazio
63;89.900;Volkswagen;Polo;1.0 200 Tsi Highline Automático;81.000;2019;SP;São Paulo Zona Norte;Vazio
64;79.900;Honda;Fit;1.5 Ex 16v;60.800;2017;SP;Vila Nova Curuçá - São Paulo Zona Leste;Vazio
